"lon","lat","dist"
-30.5,-38.5,11.0837951941123
-30.5,-39.5,11.1948298318483
-30.5,-40.5,11.3058837439055
-30.5,-41.5,11.4169570306995
-30.5,-42.5,11.5280497691157
-30.5,-43.5,11.6391620123949
-30.5,-44.5,11.7502937900477
-30.5,-45.5,11.8614451077981
-30.5,-46.5,11.9726159475552
-30.5,-47.5,12.0838062674148
-30.5,-48.5,12.1950160016891
-30.5,-49.5,12.3062450609669
-30.5,-50.5,12.4174933322016
-30.5,-51.5,12.5287606788298
-30.5,-52.5,12.640046940918
-30.5,-53.5,12.7513519353392
-30.5,-54.5,12.8626754559776
-30.5,-55.5,12.9740172739631
-30.5,-56.5,13.0853771379336
-30.5,-57.5,13.196754774326
-30.5,-58.5,13.3081498876955
-30.5,-59.5,13.4195621610622
-30.5,-60.5,13.4745174936369
-29.5,-60.5,13.5294728262116
-28.5,-60.5,13.5844281587863
-27.5,-60.5,13.639383491361
-26.5,-60.5,13.6943388239357
-25.5,-60.5,13.7492941565103
-24.5,-60.5,13.804249489085
-23.5,-60.5,13.8592048216597
-22.5,-60.5,13.9141601542344
-21.5,-60.5,13.9691154868091
-20.5,-60.5,14.0240708193838
-19.5,-60.5,14.0790261519585
-18.5,-60.5,14.1339814845332
-17.5,-60.5,14.1889368171079
-16.5,-60.5,14.2438921496826
-15.5,-60.5,14.2988474822572
-14.5,-60.5,14.3538028148319
-13.5,-60.5,14.4087581474066
-12.5,-60.5,14.4637134799813
-11.5,-60.5,14.518668812556
-10.5,-60.5,14.5736241451307
-9.5,-60.5,14.6285794777054
-8.5,-60.5,14.6835348102801
-7.5,-60.5,14.7384901428548
-6.5,-60.5,14.7934454754295
-5.5,-60.5,14.8484008080041
-4.5,-60.5,14.9033561405788
-3.5,-60.5,14.9583114731535
-2.5,-60.5,15.0132668057282
-1.5,-60.5,15.0682221383029
-0.5,-60.5,15.1231774708776
0.5,-60.5,15.1781328034523
1.5,-60.5,15.233088136027
2.5,-60.5,15.2880434686017
3.5,-60.5,15.3429988011763
4.5,-60.5,15.397954133751
5.5,-60.5,15.4529094663257
6.5,-60.5,15.5078647989004
7.5,-60.5,15.5628201314751
8.5,-60.5,15.6177754640498
9.5,-60.5,15.6727307966245
10.5,-60.5,15.7276861291992
11.5,-60.5,15.7826414617739
12.5,-60.5,15.8375967943486
13.5,-60.5,15.8925521269232
14.5,-60.5,15.9475074594979
15.5,-60.5,16.0024627920726
16.5,-60.5,16.0574181246473
17.5,-60.5,16.112373457222
18.5,-60.5,16.1673287897967
19.5,-60.5,16.2222841223714
20.5,-60.5,16.2772394549461
21.5,-60.5,16.3321947875208
22.5,-60.5,16.3871501200955
23.5,-60.5,16.4421054526701
24.5,-60.5,16.4970607852448
25.5,-60.5,16.5520161178195
26.5,-60.5,16.6069714503942
27.5,-60.5,16.6619267829689
28.5,-60.5,16.7168821155436
29.5,-60.5,16.7718374481183
