"lon","lat","dist","depth","value"
-30.5,59.5,0.222807386736213,1500,2105.97241210938
-30.5,59.5,0.222807386736213,1500,2106.64233398438
-30.5,59.5,0.222807386736213,1500,2106.6298828125
-30.5,59.5,0.222807386736213,1500,2107.46850585938
-30.5,59.5,0.222807386736213,2500,2107.86279296875
-30.5,59.5,0.222807386736213,2500,2108.4169921875
-30.5,59.5,0.222807386736213,2500,2108.021484375
-30.5,59.5,0.222807386736213,2500,2108.87866210938
-30.5,59.5,0.222807386736213,3500,2122.2099609375
-30.5,59.5,0.222807386736213,3500,2121.7353515625
-30.5,59.5,0.222807386736213,3500,2121.36059570312
-30.5,59.5,0.222807386736213,3500,2120.77563476562
-30.5,59.5,0.222807386736213,4500,2140.16748046875
-30.5,59.5,0.222807386736213,4500,2139.41284179688
-30.5,59.5,0.222807386736213,4500,2138.73120117188
